Name;Owner;Manager;Category;JiraName;JiraRepository;GitRepository;Released;Site
Spark;ASF;Apache Spark Committee;big-data;SPARK;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/spark.git;2014;https://spark.apache.org/
Ozie;ASF;Apache Oozie Committee;big-data;OOZIE;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/oozie.git;2012;http://oozie.apache.org/
Kafka;ASF;Apache Kafka Committee;big-data;KAFKA;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/kafka.git;2013;http://kafka.apache.org/
Storm;ASF;Apache Storm Committee;big-data;STORM;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/storm.git;2017;http://storm.apache.org/
Giraph;ASF;Apache Giraph Committee;big-data;GIRAPH;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/giraph.git;2018;http://giraph.apache.org/
Hive;ASF;Apache Hive Committee;database;HIVE;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/hive.git;2010;http://hive.apache.org/
Cassandra;ASF;Apache Cassandra Committee;database;CASSANDRA;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/cassandra.git;2009;http://cassandra.apache.org/
Lucene Core;ASF;Apache Lucene Committee;database;LUCENE;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/lucene-solr.git;2006;http://lucene.apache.org/
HBase;ASF;Apache HBase Committee;database;HBASE;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/hbase.git;2015;https://hbase.apache.org/
ZooKeeper;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/zookeeper.git;2011;https://zookeeper.apache.org/
Derby;ASF;Apache DB Committee;database;DERBY;https://issues.apache.org/jira/;https://github.com/apache/derby.git;2005;http://db.apache.org/derby/
OpenJPA;ASF;Apache OpenJPA Committee;database;OPENJPA;https://issues.apache.org/jira/;https://gitbox.apache.org/repos/asf/openjpa.git;2007;http://openjpa.apache.org/
