Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-235;Trivial;Closed;alexismidon;;JRuby Site/documentation;download:1 link:1 broken:1;download:1 link:1 valid:1 install:1;;2009-01-07T20:26:20.000+0000;2009-03-12T22:52:51.000+0000;;1.3.3;1.3.4;0;;;0;1;2009-01-07T20:27:04.874+0000;2009-01-07T20:27:04.874+0000;1;2009-01-07T20:27:04.874+0000;2009-01-07T20:27:04.874+0000;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-236;Major;Closed;alexismidon;;;misssing:1 console:1 ant:1;ant:3 derby:2 task:2 issue:2 console:1 messages:1 missing:1 executed:1 using:1 instead:1 know:1 bug:1 belongs:1 combination:1 common:1 knowledge:1 base:1 attached:1 zip:1 file:1 containing:1 pet:1 project:1 reproduce:1;fixed:2 upgraded:1 maybe:1 try:1 messages:1 look:1 ok:1 looking:1 case:1 reproduce:1 problem:1 looks:1 like:1 current:1 trunk:1 ant:1 marking:1 please:1 reopen:1 resolve:1 issue:1;2009-01-14T00:35:08.000+0000;2010-02-28T15:45:40.000+0000;;1.3.3;1.4;3;2010-02-28T07:02:33.705+0000;2010-02-28T15:45:40.740+0000;0;1;2009-01-14T00:51:58.110+0000;2009-01-14T00:51:58.110+0000;0;;;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-239;Major;Closed;jmuzz;;Core features;http:1 redirects:1 lose:1 authentication:1 information:1;authentication:2 request:2 url:2 new:2 uses:1 basic:1 redirect:1 breaks:1 create:1 include:1 information:1;patch:2 fix:1 bug:1 spec:1;2009-01-29T00:44:50.000+0000;2009-03-12T23:20:28.000+0000;;1.3.3;1.3.4;2;2009-01-29T00:57:54.349+0000;2009-01-29T20:25:32.547+0000;0;2;2009-01-29T00:57:54.255+0000;2009-01-29T20:25:32.522+0000;2;2009-01-29T00:57:54.255+0000;2009-01-29T20:25:32.522+0000;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-241;Major;Closed;rsutphin;;IDE;generation:1 pay:1 attention:1;h:3 file:3 project:2 like:2 define:2 alphabet:2 end:2 module:2 task:1 correctly:1 generate:1 directory:1 however:1 reference:1 e:1 ignores:1 base:1 always:1 using:1 name:1;patch:2 git:1 formatted:1 issue:1 includes:1 specs:1 also:1 viewable:1 http:1 commit:1;2009-02-04T17:19:01.000+0000;2009-03-12T23:29:19.000+0000;;1.3.3;1.3.4;1;2009-02-04T19:37:19.189+0000;2009-02-04T19:37:19.189+0000;0;1;2009-02-04T19:37:19.165+0000;2009-02-04T19:37:19.165+0000;1;2009-02-04T19:37:19.165+0000;2009-02-04T19:37:19.165+0000;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-243;Minor;Closed;digitalsanctum;;Compilers;unrecognized:1 option:1 silent:1;silent:2 option:2 page:1 building:1 refers:1 appear:1 work:1 fails:1 error:1 unrecognized:1;back:1 working:1;2009-02-06T21:40:44.000+0000;2009-02-15T01:43:54.000+0000;;1.3.3;1.3.4;1;2009-02-09T06:54:05.416+0000;2009-02-09T06:54:05.416+0000;0;0;;;0;;;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-245;Major;Closed;martin.grotzke;;;converting:1 maven:1 project:1 fails:1 internal:1 error:1 called:1 settings:1 located:1;gems:14 ruby:7 error:6 core:6 application:6 rb:6 create:4 internal:4 called:4 settings:4 located:4 project:3 issue:3 bin:3 posting:2 mailing:2 list:2 maven:2 fails:2 created:2 archetype:2 output:2 work:2 hello:2 failed:2 copied:1 tried:1 unfortunately:1 even:1 simplest:1 feature:1 message:1 see:1 complete:1 found:1 author:1 wrote:1 around:1 problem:1 removes:1 line:1 throws:1 fail:1 also:1 wonder:1 final:1 solution:1 steps:1 reproduce:1 simple:1 example:1 change:1 directory:1 cd:1 invoke:1 use:1 need:1 want:1 one:1 choose:1 option:1 pom:1 file:1 following:1 build:1 aborted:1 convert:1 nil:1 string:1 select:1 run:1 load:1 cheers:1 martin:1 http:1 www:1 html:1;someone:1 magically:1 solved:1;2009-02-09T02:37:30.000+0000;2009-03-13T03:30:34.000+0000;;1.3.3;1.3.4;1;2009-03-13T03:30:34.830+0000;2009-03-13T03:30:34.830+0000;0;0;;;0;;;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-247;Major;Closed;rsutphin;;Core features Test frameworks;test:1 framework:1 pass:1 configured:1 system:1 properties:1 runner:1 cause:1 work:1 hash:1;hash:7 properties:2 actually:2 run:2 cause:2 end:2 delegate:2 needs:2 configured:1 test:1 using:1 passed:1 tests:1 digging:1 appears:1 come:1 testing:1 probably:1 also:1 affected:1 root:1 work:1 spec:1 fails:1 describe:1 works:1 new:1 b:1 c:1 result:1 empty:1 seems:1 like:1 either:1 methods:1 internal:1 get:1 rid:1;end:4 source:3 patch:2 hash:2 also:2 fix:2 block:2 super:2 n:2 git:1 generated:1 fixes:1 removing:1 delegate:1 specs:1 included:1 http:1 commit:1 use:1 get:1 need:1 new:1 release:1 class:1 initialize:1 nil:1 update:1 w:1 delete:1;2009-02-10T04:13:40.000+0000;2009-03-12T23:14:23.000+0000;;1.3.3;1.3.4;2;2009-02-10T04:46:00.617+0000;2009-02-10T05:38:07.032+0000;0;1;2009-02-10T04:46:00.517+0000;2009-02-10T04:46:00.517+0000;1;2009-02-10T04:46:00.517+0000;2009-02-10T04:46:00.517+0000;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-251;Major;Closed;ittayd;;Dependency management;classifiers:1 handled:1 downloading:1 snapshot:1 artifacts:1;artifact:3 download:2 sources:2 e:1 g:1 snapshot:1 file:1 use:1 classifiers:1 url:1;camel:9 classifier:8 artifact:7 snapshot:7 apache:6 group:5 core:4 jar:4 git:4 issue:3 problem:3 extension:2 puts:2 file:2 one:2 repositories:2 https:2 patch:2 spec:2 smudge:2 handled:2 downloading:2 artifacts:2 fowler:2 trunk:2 packaging:2 rb:2 ci:2 build:2 invoke:1 call:1 http:1 example:1 missing:1 looks:1 like:1 used:1 yes:1 works:1 please:1 reopen:1 detailed:1 description:1 reproducible:1 case:1 actually:1 classifiers:1 though:1 related:1 ok:1 mentioned:1 applying:1 e:1 g:1 rebuilt:1 spring:1 discovered:1 version:1 guess:1 might:1 original:1 reporter:1 open:1 new:1 created:1 follow:1 met:1 bug:1 reproduce:1 following:1 package:1 remote:1 oss:1 content:1 snapshots:1 compile:1 ruby:1 revision:1 linux:1 n:1 l:1 attached:1 including:1 demonstrating:1 fix:1 adds:1 figuring:1 repository:1 url:1 applied:1 thanks:1 commit:1 files:1 changed:1 insertions:1 deletions:1 committed:1 refs:1 remotes:1 origin:1 integrated:1 see:1 builds:1 job:1;2009-02-16T05:28:30.000+0000;2011-05-20T14:57:28.000+0000;;1.3.4;1.4.6;8;2010-02-28T06:57:16.342+0000;2011-07-06T08:19:44.429+0000;0;1;2011-05-18T15:39:02.891+0000;2011-05-18T15:39:02.891+0000;1;2011-05-18T15:39:02.891+0000;2011-05-18T15:39:02.891+0000;Reference:BUILDR-390;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-253;Major;Closed;ittayd;;;similar:1 compress:1;jar:2 attribute:1 defaults:1 compare:1 created:1 command:1 compression:1;reason:3 fix:2 good:2 packaging:2 rb:2 use:1 compression:1 default:1 happy:1 said:1 fixed:1 trunk:1 commit:1 uses:1 instead:1 sending:1 transmitting:1 file:1 data:1 committed:1 revision:1;2009-02-17T16:03:03.000+0000;2009-03-07T00:58:53.000+0000;;1.3.4;1.3.4;2;2009-02-17T22:13:28.014+0000;2009-03-07T00:58:53.640+0000;0;0;;;0;;;;
BUILDR;ASF;Apache Buildr Committee;build-management;BUILDR-254;Major;Closed;rsutphin;vic;JRuby Test frameworks;automatically:1 installing:1 install:1 dependencies:1;version:2 updates:1 dependency:1 unfortunately:1 included:1 default:1 gem:1 install:1 pull:1 dependencies:1 see:1 comments:1 information:1;runner:8 gems:7 update:4 dictionary:4 one:3 solution:3 install:3 framework:3 version:3 cucumber:3 hoe:3 facets:3 includes:2 dependency:2 issue:2 test:2 requires:2 use:2 depend:2 like:2 explicitly:2 installed:2 order:2 monkey:2 patch:2 problem:2 first:2 hash:2 require:2 end:2 possible:1 default:1 avoid:1 vs:1 however:1 currently:1 updated:1 particular:1 infrastructure:1 actually:1 switching:1 work:1 still:1 disconnect:1 time:1 dependencies:1 another:1 way:1 fix:1 might:1 modify:1 addition:1 ensure:1 necessary:1 automatically:1 address:1 wrote:1 probably:1 good:1 general:1 better:1 introduce:1 nicer:1 allowed:1 configured:1 things:1 though:1 benefit:1 minimally:1 intrusive:1 functional:1 illustrates:1 explicit:1 last:1 comment:1 unordered:1 nature:1 ruby:1 hashes:1 happens:1 put:1 iterated:1 e:1 needs:1 replaced:1 ordered:1 java:1 class:1 super:1 preserve:1 insertion:1 get:1 new:1 merge:1 include:1 auto:1 spec:1 updating:1 comes:1 longer:1 occurs:1;2009-02-17T19:29:53.000+0000;2009-11-17T02:38:51.000+0000;;1.3.4;1.3.5;5;2009-02-17T20:10:35.672+0000;2009-11-17T02:38:51.766+0000;0;0;;;0;;;;
