Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-1;Critical;Resolved;ckoppelt;;;test:1;test:3 fix:1 class:1 protocol:1 java:1 apache:1 directory:1 server:1 actually:1 promises:1 tests:1 make:1 sure:1 binds:1 work:1 public:1 void:1 true:1;rev:8 http:4 apache:4 view:4 fixed:2 server:1 bind:1;2009-03-27T10:59:45.000+0000;2009-08-06T10:53:00.000+0000;;;;1;2009-08-06T10:53:00.327+0000;2009-08-06T10:53:00.327+0000;0;0;;;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-28;Major;Resolved;obi;akiran;changepw;allow:1 setting:1;dc:2 ignores:1 ads:1 thus:1 using:1 users:1 example:1 look:1 server:1 entry:1 revision:1;patch:2 rev:2 fixing:1 issue:1 changed:1 assignee:1 updated:1 version:1 applied:1 http:1 apache:1 view:1 thank:1;2010-08-13T15:13:38.000+0000;2014-03-09T08:18:05.000+0000;;;;3;2010-08-13T15:15:18.169+0000;2010-08-15T15:50:03.162+0000;0;1;2010-08-13T15:15:18.085+0000;2010-08-13T15:15:18.085+0000;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-30;Blocker;Resolved;elecharny;elecharny;;decoding:1 incoming:1 request:1 tcp:1 fails:1;decoder:2 tcp:2 use:1 data:1 transiting:1 correctly:1 decoded:1 based:1 wrong:1 come:1 length:1 front:1 requests:1 completely:1 reviewed:1;fixed:1;2010-10-28T11:20:41.000+0000;2010-12-07T15:07:00.000+0000;;;;1;2010-12-07T15:07:00.119+0000;2010-12-07T15:07:00.119+0000;0;0;;;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-80;Major;Closed;seelmann;akiran;;extends:1 thread:1;server:2 thread:2 started:2 cache:2 three:2 class:1 apache:1 directory:1 shared:1 replay:1 extends:1 instance:1 task:1 clean:1 expired:1 entries:1 used:1 times:1 threads:1 check:1 really:1 required:1 alternative:1 use:1;rev:2 updated:1 use:1 renamed:1 fixed:1 branch:1 http:1 apache:1 view:1;2010-11-25T13:31:07.000+0000;2010-12-04T11:37:34.000+0000;;;;1;2010-12-04T11:37:34.400+0000;2010-12-04T11:37:34.400+0000;0;0;;;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-81;Critical;Closed;elecharny;elecharny;;marked:1 contains:1 fields:1;field:1;fixed:2 rev:2 version:2 http:1 apache:1 view:1 opened:1 change:1 fix:1 changed:1 closing:1 issue:1;2011-02-24T17:32:20.000+0000;2012-01-27T14:52:04.000+0000;;;;3;2012-01-24T11:05:20.845+0000;2012-01-27T14:52:04.787+0000;0;0;;;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-84;Blocker;Resolved;elecharny;elecharny;;correctly:1 handled:1 server:1;set:3 stored:2 client:2 server:2 encrypted:2 using:2 strongest:2 list:2 currently:1 compare:1 expected:1 passed:1 configured:1 support:1 ordered:1 problem:1 nothing:1 like:1 negotiation:1 data:1 found:1 leftmost:1 rightmost:1 weaker:1 guarantee:1 face:1 issues:1 point:1 must:1 use:1 instead:1;rev:2 fixed:1 http:1 apache:1 view:1;2012-01-25T19:03:37.000+0000;2012-01-27T00:44:07.000+0000;;;;1;2012-01-27T00:44:07.260+0000;2012-01-27T00:44:07.260+0000;0;0;;;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-85;Critical;Resolved;kwart;elecharny;;include:1 attribute:1;instance:3 created:3 server:2 domain:2 example:2 users:2 dc:2 annotation:1 contain:1 calling:1 apache:1 directory:1 factory:1 used:1 configuration:1 searches:1 always:1 see:1 constructor:1 possible:1 change:1 search:1 retrieving:1 work:1 original:1 value:1 already:1 stored:1 start:1 method:1;attribute:1 available:1 http:1 apache:1;2012-05-16T08:53:55.000+0000;2013-02-26T11:00:46.000+0000;;;;1;2013-02-26T11:00:46.319+0000;2013-02-26T11:00:46.319+0000;0;0;;;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-87;Major;Resolved;elecharny;akiran;;configure:1 wrong:1 server:1 start:1;java:9 apache:8 directory:8 server:7 start:4 wrapper:3 ads:3 wrong:2 unknown:2 shared:2 add:1 configuration:1 anymore:1 error:1 failed:1 service:1 algorithm:1 name:1 encryption:1 type:1 builder:1 run:1 value:1 servers:1;fixed:1 http:1 apache:1;2013-02-12T14:27:24.000+0000;2013-02-12T14:31:46.000+0000;;;;1;2013-02-12T14:31:46.348+0000;2013-02-12T14:31:46.348+0000;0;0;;;0;;;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-91;Major;Resolved;smoyer1;elecharny;;problems:1 decrypting:1;see:1 attached:1 packet:1 dumps:1 request:1 response:1;java:31 apache:26 mina:18 core:15 directory:8 polling:5 tag:4 run:4 nonce:4 exception:3 server:3 access:3 thread:3 rep:3 mit:3 compatibility:3 patch:3 grammar:2 bad:2 transition:2 state:2 check:2 decrypted:2 field:2 protocol:2 filter:2 process:2 concurrent:2 worker:2 encrypted:2 number:2 part:2 case:2 throw:2 new:2 received:2 match:2 sent:2 request:2 break:2 line:1 throwing:1 following:1 error:1 shared:1 exceptions:1 integrity:1 failed:1 libraries:1 flush:1 read:1 processor:1 caused:1 decode:1 get:1 try:1 found:1 describes:1 containing:1 http:1 help:1 invalid:1 linux:1 running:1 html:1 reference:1 section:1 pertinent:1 paragraph:1 quote:1 note:1 implementations:1 unconditionally:1 send:1 application:1 regardless:1 reply:1 interest:1 may:1 relax:1 apparently:1 widely:1 known:1 least:1 behavior:1 please:1 apply:1 resolve:1 issue:1 adds:1 class:1 applied:1 slight:1 modification:1 formatting:1 change:1 rev:1 works:1 wonder:1 slightly:1 different:1 better:1 null:1 switch:1 reading:1 fist:1 byte:1 decoded:1 ca:1 tell:1 spare:1;2013-04-12T14:55:09.000+0000;2013-04-17T20:05:13.000+0000;;;;6;2013-04-12T15:06:35.462+0000;2013-04-18T07:21:45.378+0000;0;2;2013-04-12T14:55:54.971+0000;2013-04-17T17:49:27.213+0000;1;2013-04-17T17:49:27.213+0000;2013-04-17T17:49:27.213+0000;;
DIRKRB;ASF;Apache Directory Committee;security;DIRKRB-92;Major;Resolved;smoyer1;akiran;;use:1 flag:1 like:1 inverted:1 connection:1 type:1;;applied:1 patch:1 rev:1 thank:1;2013-04-17T20:15:58.000+0000;2013-04-18T05:43:15.000+0000;;;;1;2013-04-18T05:43:15.401+0000;2013-04-18T05:43:15.401+0000;0;1;2013-04-17T20:16:19.476+0000;2013-04-17T20:16:19.476+0000;1;2013-04-17T20:16:19.476+0000;2013-04-17T20:16:19.476+0000;;
