Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
HELIX;ASF;Apache Helix Committee;cloud;HELIX-1;Blocker;Closed;olamy;k4j;;use:1 apache:1 helix:1 package:1 java:1 sources:1;;;2012-10-24T12:41:14.000+0000;2012-10-25T07:56:43.000+0000;;;0.6.0-incubating;0;;;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-2;Major;Closed;k4j;k4j;;remove:1 dependency:1 helix:1;used:2 need:1 remove:1 note:1 library:1 experimentation:1 feature:1 use:1 case:1;;2012-10-24T21:13:51.000+0000;2012-10-25T07:56:12.000+0000;;;0.6.0-incubating;0;;;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-3;Blocker;Closed;olamy;olamy;;fix:1 license:1 headers:1 sources:1;;helix:1052 java:1038 apache:523 core:486 main:320 test:209 integration:61 manager:57 controller:54 tools:34 alerts:33 stages:33 store:32 monitoring:27 package:24 info:24 resources:24 model:23 mock:23 participant:22 messaging:19 file:16 storage:12 handling:12 examples:9 pipeline:8 integrated:4 see:4 https:4 builds:4 job:4 fix:4 license:4 headers:4 sources:4 revision:4 result:4 files:4 consumer:3 unstable:2 spectator:2 router:2 relay:2 simple:2 get:2 criteria:1 aggregator:1 alert:1 stage:1 operator:1 failure:1 message:1 cache:1 mocks:1 partition:1 resource:1 error:1 transition:1 success:1 post:1 stop:1 service:1 ivy:1 nonexistent:1 done:1;2012-10-25T07:57:44.000+0000;2012-10-26T16:02:11.000+0000;;;0.6.0-incubating;5;2012-10-25T09:16:33.721+0000;2012-10-26T16:02:11.786+0000;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-6;Major;Closed;k4j;k4j;;remove:1 author:1 tags:1;;helix:57 java:50 apache:27 core:26 main:24 controller:7 stages:6 test:5 tools:3 integration:3 integrated:2 see:2 https:2 builds:2 job:2 author:2 revision:2 result:2 files:2 store:2 scripts:2 script:2 participant:2 removing:1 tags:1 unstable:1 g:1 package:1 info:1 manager:1 model:1 message:1 remove:1 tag:1 success:1 recipes:1 replicated:1 file:1 system:1;2012-11-09T16:46:31.000+0000;2012-12-14T22:15:28.000+0000;;;;2;2012-11-09T17:11:26.759+0000;2012-12-14T22:56:17.779+0000;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-7;Critical;Resolved;slu;slu;;test:2 tune:1 parameters:1 fix:1 random:1 failures:1;;helix:100 java:56 apache:42 test:41 core:25 revision:16 integrated:14 see:14 https:14 builds:14 job:14 result:14 files:14 fix:13 integration:10 failures:10 parameters:8 random:7 tune:6 failure:6 tools:5 success:5 main:5 unstable:4 controller:4 mock:3 participant:3 update:2 monitoring:2 build:2 system:2 intermittent:2 waiting:1 fails:1 max:1 wait:1 time:1 alert:1 observer:1 catch:1 still:1 happen:1 compile:1 issue:1 recipes:1 replicated:1 file:1 adjust:1 allow:1 stages:1 model:1 manager:1 looks:1 like:1 stable:1;2012-11-09T23:15:17.000+0000;2013-05-15T00:45:09.000+0000;;0.6.0-incubating;0.6.2-incubating;17;2012-11-15T02:29:28.610+0000;2013-05-15T00:45:09.888+0000;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-9;Major;Closed;dafu;dafu;;curl:1 controller:1 work:1;;helix:3 integrated:1 see:1 https:1 builds:1 apache:1 job:1 revision:1 result:1 success:1;2012-11-15T23:41:08.000+0000;2012-11-19T22:16:54.000+0000;;;;1;2012-11-16T01:23:19.204+0000;2012-11-16T01:23:19.204+0000;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-10;Major;Closed;dafu;dafu;;bugs:1 drop:1 resource:1 cleaned:1 correctly:1;;helix:9 java:6 apache:4 core:3 main:3 manager:2 integrated:1 see:1 https:1 builds:1 job:1 bugs:1 drop:1 resource:1 cleaned:1 revision:1 result:1 success:1 files:1 controller:1 stages:1;2012-11-15T23:56:18.000+0000;2012-11-19T22:17:42.000+0000;;;;1;2012-11-16T01:23:19.380+0000;2012-11-16T01:23:19.380+0000;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-12;Major;Closed;dafu;dafu;;starting:1 multiple:1 controllers:1 mode:1 name:1 causes:1 sending:1 duplicated:1 state:1 transition:1 messages:1;;helix:19 java:12 apache:8 core:6 test:5 integration:3 integrated:2 see:2 https:2 builds:2 job:2 mode:2 revision:2 result:2 success:2 files:2 participant:2 main:2 multiple:2 add:1 case:1 auto:1 node:1 mock:1 manager:1 caused:1 starting:1 controllers:1 name:1 fixed:1 comparing:1 instead:1 leader:1 election:1 controller:1 sends:1 state:1 transition:1 messages:1 reopening:1 set:1 fix:1 version:1;2012-11-26T18:10:42.000+0000;2013-01-29T22:49:16.000+0000;;;0.6.0-incubating;4;2012-11-27T21:40:33.500+0000;2013-01-29T22:49:02.607+0000;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-14;Major;Closed;dafu;dafu;;error:1 helix:1 core:1 ivy:1 file:1;compile:51 default:42 name:40 dependency:30 rev:28 master:17 commons:15 description:11 visibility:10 public:9 core:8 camel:8 apache:7 artifact:7 net:7 module:6 dependencies:6 logging:6 helix:5 contains:5 jar:5 ivy:4 scope:4 available:4 jackson:4 extends:3 indicates:3 compilation:3 test:3 sources:3 management:3 force:3 true:3 version:2 http:2 maven:2 info:2 configurations:2 used:2 transitive:2 provided:2 provide:2 required:2 execution:2 configuration:2 optional:2 publications:2 type:2 asl:2 io:2 cli:2 math:2 file:1 passes:1 vanilla:1 encoding:1 ant:1 organisation:1 revision:1 status:1 release:1 publication:1 homepage:1 published:1 none:1 specified:1 much:1 like:1 expect:1 container:1 private:1 normal:1 use:1 application:1 phases:1 system:1 similar:1 except:1 explicitly:1 always:1 looked:1 repository:1 source:1 classifier:1 mapper:1;helix:3 integrated:1 see:1 https:1 builds:1 apache:1 job:1 fix:1 error:1 ivy:1 file:1 revision:1 result:1 unstable:1;2012-12-10T22:46:29.000+0000;2012-12-14T22:11:40.000+0000;;;0.6.0-incubating;1;2012-12-10T22:57:08.673+0000;2012-12-10T22:57:08.673+0000;0;0;;;0;;;;
HELIX;ASF;Apache Helix Committee;cloud;HELIX-15;Major;Resolved;k4j;k4j;;lock:1 manager:1 recipe:1;;recipes:10 lock:9 helix:8 distributed:8 manager:8 java:8 apache:5 main:5 md:3 pom:2 site:2 integrated:1 see:1 https:1 builds:1 job:1 recipe:1 revision:1 result:1 aborted:1 g:1 files:1 properties:1 resources:1 images:1 logo:1 replicated:1 file:1 system:1 reopening:1 set:1 version:1;2012-12-10T23:24:58.000+0000;2013-01-29T22:50:40.000+0000;;;0.6.0-incubating;2;2012-12-17T16:48:38.362+0000;2013-01-29T22:50:25.464+0000;0;0;;;0;;;;
