Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2131;Minor;Closed;jkva;matzew;JSR-314;import:1 internal:1 sun:1 class:1;import:2 restriction:2 apache:1 context:1 sun:1 error:1 access:1 type:1 accessible:1 due:1 required:1 library:1 java:1 jar:1 used:1 however:1 removing:1 problem:1;patch:1 import:1 removed:1 interesting:1;2009-01-06T19:17:25.000+0000;2009-01-06T19:43:51.000+0000;;2.0.0-alpha;2.0.0-alpha;1;2009-01-06T19:19:57.892+0000;2009-01-06T19:19:57.892+0000;0;1;2009-01-06T19:19:57.732+0000;2009-01-06T19:19:57.732+0000;1;2009-01-06T19:19:57.732+0000;2009-01-06T19:19:57.732+0000;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2134;Major;Closed;felix becker;lu4242;General;apache:1 causes:1 failure:1;method:5 called:4 exception:3 context:2 apache:2 faces:2 seems:1 default:1 second:1 page:1 request:1 causes:1 undefined:1 component:1 type:1 class:1 void:1 update:1 throws:1 catch:1 block:1 return:1 configure:1 looks:1 like:1 trinidad:1 implement:1 reflection:1 rises:1 setting:1 works:1 never:1 regards:1 bonn:1;x:4 trinidad:4 issue:3 specific:3 nothing:3 feature:3 method:3 problem:3 message:2 thrown:2 continue:2 processing:2 right:2 way:2 framework:2 patch:2 gets:2 purge:2 methods:2 point:1 view:1 personal:1 opinion:1 blocker:1 happens:1 configuration:1 several:1 possible:1 ways:1 create:1 log:1 ignored:1 side:1 effect:1 occur:1 valid:1 present:1 lower:1 priority:1 major:1 hell:1 serious:1 seems:1 enabled:1 default:1 implemented:1 normal:1 release:1 improvement:1 solve:1 core:1 already:1 logged:1 think:1 leonardo:1 provides:1 custom:1 part:1 interface:1 implement:1 specifically:1 trying:1 compatible:1 example:1 consider:1 end:1 using:1 thus:1 results:1 exactly:1 fixes:1 fix:1 reference:1 required:1 starts:1 purging:1 available:1 prevents:1 situation:1 purged:1 configure:1 never:1 called:1 due:1 attempting:1 thanks:1 provide:1 may:1 error:1 exists:1 merged:1 revision:1 branch:1;2009-01-15T13:23:06.000+0000;2009-02-11T15:03:32.000+0000;;1.2.5;1.2.7;7;2009-01-17T02:34:30.652+0000;2009-02-11T15:03:32.760+0000;0;1;2009-02-04T23:33:38.604+0000;2009-02-04T23:33:38.604+0000;1;2009-02-04T23:33:38.604+0000;2009-02-04T23:33:38.604+0000;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2135;Major;Closed;lu4242;lu4242;;annotation:2 remove:1 deprecated:1 annotations:1 inserted:1 methods:1 type:1 changes:1 method:1 signature:1 test:1 fails:1 present:1;faces:26 component:16 java:16 deprecated:16 el:10 list:1 changes:1;deprecated:3 comment:2 note:1 future:1 reference:1 changes:1 method:1 signature:1 means:1 sun:1 complaining:1 really:1 methods:1 annotated:1 sane:1 reason:1 modern:1 annotation:1 allowed:1 however:1 getting:1 fixed:1 difficult:1 maybe:1 impossible:1 perfectly:1 valid:1 annotations:1 removed:1 source:1 instead:1;2009-01-17T02:44:56.000+0000;2009-01-17T02:51:56.000+0000;;1.2.5;1.2.6;1;2009-01-27T21:03:10.768+0000;2009-01-27T21:03:10.768+0000;0;0;;;0;;;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2139;Major;Closed;fmjaeschke;lu4242;;h:1 messages:1 use:1 attribute:1 rendering:1;attribute:2 element:2 table:2 breaks:1 compatibility:1 sun:1 ri:1 rendered:1 h:1 messages:1 applied:1 layout:1;class:10 li:6 message:6 style:5 apply:3 css:3 rendered:3 attributes:2 list:2 messages:2 x:2 behavior:2 branches:2 thanks:2 frank:2 michael:2 sun:2 severity:2 provides:1 table:1 issue:1 part:1 tomahawk:1 believe:1 render:1 like:1 shared:1 objections:1 change:1 current:1 fixed:1 patch:1 missed:1 points:1 parent:1 tips:1 think:1 fix:1 complete:1 yet:1 rendering:1 component:1 missing:1 according:1 doc:1 http:1 java:1 docs:1 index:1 html:1 example:1 error:1 fatal:1 single:1 perfect:1 contains:1 also:1 space:1 separated:1 es:1 applied:1 element:1 value:1 must:1 passed:1 attribute:1 generated:1 markup:1 assume:1 h:1 yes:1 right:1 changed:1 proposed:1 modified:1 test:1 detect:1 condition:1 attention:1 details:1;2009-01-23T17:01:03.000+0000;2009-05-26T19:45:59.000+0000;;1.2.6 1.1.6;1.2.7 1.1.7;5;2009-01-23T18:23:38.957+0000;2009-05-28T18:32:30.103+0000;0;1;2009-01-23T18:23:38.898+0000;2009-01-23T18:23:38.898+0000;1;2009-01-23T18:23:38.898+0000;2009-01-23T18:23:38.898+0000;"Incorporates:TOMAHAWK-1082
Reference:TOMAHAWK-1476";
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2142;Major;Closed;jkva;lu4242;JSR-314;;java:9 apache:7 cast:2 application:2 faces:2 core:2 running:1 latest:1 source:1 code:1 test:1 page:1 encountered:1 following:1 error:1 context:1 http:1 execute:1 render:1 service:1 far:1 see:1 bug:1 explicit:1 given:1 parameter:1 type:1 looks:1 like:1 recent:1 change:1;issue:6 response:4 fix:3 think:3 better:3 view:3 must:3 patch:2 like:2 disabled:2 part:2 related:2 leonardo:2 unwrapping:2 make:2 cast:2 use:2 found:2 spec:2 partial:2 outside:2 writing:2 fixed:2 shared:2 hi:1 jan:1 see:1 fixes:1 seems:1 needs:1 unwrapped:1 temporally:1 error:1 appear:1 need:1 arise:1 idea:1 enable:1 solve:1 try:1 provided:1 simply:1 due:1 solution:1 inherit:1 creating:1 class:1 constructor:1 one:1 yet:1 requires:1 put:1 hold:1 decision:1 text:1 talks:1 section:1 last:1 bullet:1 requests:1 rendering:1 required:1 content:1 written:1 f:1 enabled:1 start:1 extend:1 otherwise:1 implement:1 methods:1 back:1 existing:1 writer:1 effectively:1 duplicating:1 functionality:1 root:1 problem:1 extends:1 thus:1 merely:1 fixing:1 oversight:1 defined:1 suitable:1 finally:1 comment:1 rev:1 says:1 getting:1 full:1 page:1 refresh:1 running:1 ajax:1 trinidad:1 trunk:1 moved:1 stuff:1 implemented:1 switching:1 makes:1 merged:1 close:1 version:1;2009-01-26T20:16:05.000+0000;2010-12-03T20:55:45.000+0000;;;2.0.1;6;2009-04-22T15:16:32.372+0000;2010-12-03T20:55:45.199+0000;0;1;2009-04-22T15:16:32.330+0000;2009-04-22T15:16:32.330+0000;1;2009-04-22T15:16:32.330+0000;2009-04-22T15:16:32.330+0000;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2144;Major;Closed;vace117;bommel;;render:1 kit:1 parsing:1 problem:1;render:9 kit:8 id:6 null:4 key:4 bug:2 first:2 small:1 error:1 feed:1 method:1 loop:1 responsible:1 storing:1 kits:1 specified:1 file:1 parsed:1 e:1 default:1 later:1 store:1 map:1 however:1 code:1 erroneously:1 uses:1 instead:1 course:1 breaks:1 tries:1 add:1 suspect:1 reason:1 going:1 unnoticed:1 used:1 found:1 class:1 path:1 specify:1 explicit:1 subsequent:1 declarations:1 merged:1 element:1 correct:1 works:1 long:1 uploading:1 patch:1 fix:1;thanks:2 patch:2 check:1;2009-02-05T00:00:03.000+0000;2009-02-10T21:28:21.000+0000;;1.2.7-SNAPSHOT;1.2.7;2;2009-02-10T16:04:18.480+0000;2009-02-10T21:28:21.210+0000;0;1;2009-02-05T00:01:01.667+0000;2009-02-05T00:01:01.667+0000;1;2009-02-05T00:01:01.667+0000;2009-02-05T00:01:01.667+0000;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2146;Major;Closed;jkva;lu4242;JSR-314;bug:1 causes:1 exception:1;stack:2 missing:1 code:1 path:1 instance:1 added:1 current:1 component:1 causes:1 exception:1 pop:1 called:1 empty:1;patch:2 fix:2 methods:2 check:2 contains:1 bug:1 well:1 cleanup:1 push:1 pop:1 seemed:1 implementation:1 simpler:1 applied:1 branch:1 makes:1 fails:1 several:1 tests:1 null:1 empty:1 committed:1 small:1 later:1 composite:1 component:1 feature:1;2009-02-08T20:11:55.000+0000;2009-08-28T00:30:56.000+0000;;2.0.0-alpha;2.0.0-alpha;3;2009-02-08T20:14:56.392+0000;2009-08-16T22:59:07.845+0000;0;1;2009-02-08T20:14:56.373+0000;2009-02-08T20:14:56.373+0000;1;2009-02-08T20:14:56.373+0000;2009-02-08T20:14:56.373+0000;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2147;Major;Closed;jkva;;JSR-314;instantiating:1 objects:1;java:14 apache:7 class:6 application:4 caused:2 subclasses:2 object:2 different:2 faces:2 execute:2 error:1 occurs:1 rendering:1 arbitrary:1 page:1 aware:1 constructor:1 one:1 parameter:1 type:1 constructors:1 event:1;one:3 implementation:2 constructors:2 constructor:2 iterates:1 finds:1 instead:1 picking:1 object:1 type:1 parameter:1 implementations:1 exist:1 easily:1 made:1 robust:1 needed:1 fixed:1 walk:1 using:1 reflection:1 find:1 assume:1 correct:1 instantiate:1 class:1;2009-02-08T20:25:53.000+0000;2009-03-07T15:36:54.000+0000;;2.0.0-alpha;2.0.0-alpha;2;2009-02-08T20:33:32.701+0000;2009-03-07T15:36:54.371+0000;0;1;2009-02-08T20:33:32.664+0000;2009-02-08T20:33:32.664+0000;1;2009-02-08T20:33:32.664+0000;2009-02-08T20:33:32.664+0000;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2149;Minor;Closed;mwisnicki;bommel;General;stream:1 closed:1;java:40 sun:24 enterprise:15 apache:14 start:8 web:8 core:6 management:6 server:5 reflect:4 method:3 invoke:3 stream:2 closed:2 loader:2 submit:2 embedded:2 main:2 application:1 uses:1 warning:1 input:1 finalized:1 forced:1 explicitly:1 instantiation:1 reported:1 following:1 stack:1 trace:1 configure:1 startup:1 run:1 native:1;seems:1 like:1 simple:1 omission:1 thanks:1 patch:1;2009-02-10T10:41:48.000+0000;2009-02-10T21:34:07.000+0000;;1.2.6;1.2.7;2;2009-02-10T10:43:49.678+0000;2009-02-10T21:34:37.191+0000;0;1;2009-02-10T10:43:49.616+0000;2009-02-10T10:43:49.616+0000;0;;;;
MYFACES;ASF;Apache MyFaces Committee;web-framework;MYFACES-2155;Major;Closed;martin.haimberger;martin.haimberger;;recognize:1;url:2 recognize:1 encoded:1 wrong:1 f:1 used:1 instead:1;url:4 parameters:2 patch:2 martin:2 hi:1 recognize:1 urls:1 examples:1 gets:1 rendered:1 like:1 instead:1 fixes:1 issue:1 nice:1 regards:1 solution:1 committed:1 shared:1 branches:1 thanks:1 provide:1;2009-02-26T17:50:24.000+0000;2009-05-15T21:31:53.000+0000;;;1.2.7 1.1.7;2;2009-02-26T18:03:08.246+0000;2009-05-15T21:31:53.611+0000;0;1;2009-02-26T18:03:08.188+0000;2009-02-26T18:03:08.188+0000;1;2009-02-26T18:03:08.188+0000;2009-02-26T18:03:08.188+0000;;
