Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-266;Major;Closed;phunt;phunt;java client;missing:1 values:1;missing:1 documentation:1 states:1 provide:1 basic:1 details:1 refer:1 users:1 appropriate:1 doc:1 detail:1 likely:1 guide:1;patch:1 included:1 committed:1;2009-01-05T20:40:27.000+0000;2009-01-08T21:22:25.000+0000;;3.0.1 3.0.0;3.1.0;2;2009-01-08T01:42:29.854+0000;2009-01-08T21:22:25.564+0000;0;0;;;0;;;;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-267;Major;Closed;phunt;phunt;c client java client;java:1 client:1 incorrectly:1 generating:1 event:1 disconnected:1 state:1;client:5 java:2 running:2 server:2 connection:2 generated:2 someone:1 also:1 review:1 c:1 generating:1 even:1 currently:1 disconnected:1 state:1 saw:1 user:1 refused:1 time:1 attempt:1 fails:1 made:1;watcher:5 state:4 c:4 also:3 sent:3 code:3 client:3 list:2 hosts:2 change:2 disconnected:2 see:2 java:2 trunk:2 hudson:2 first:1 host:1 receive:1 fails:1 connect:1 happens:1 server:1 even:1 happen:1 connected:1 patch:1 ensures:1 send:1 duplicate:1 notifications:1 assumed:1 initially:1 updated:1 docs:1 effect:1 reviewed:1 looks:1 ok:1 please:1 ensure:1 true:1 miss:1 note:1 fixed:1 problem:1 cli:1 cases:1 might:1 called:1 returns:1 result:1 old:1 due:1 used:1 using:1 instead:1 verified:1 tests:1 still:1 pass:1 added:1 new:1 test:1 verify:1 events:1 longer:1 committed:1 revision:1 integrated:1 http:1 zones:1 apache:1 job:1 incorrectly:1 generating:1 event:1;2009-01-05T22:56:46.000+0000;2009-01-28T00:24:25.000+0000;;3.0.1 3.0.0;3.1.0;4;2009-01-06T17:11:05.241+0000;2009-01-28T11:40:32.470+0000;0;1;2009-01-23T22:58:59.759+0000;2009-01-23T22:58:59.759+0000;1;2009-01-23T22:58:59.759+0000;2009-01-23T22:58:59.759+0000;;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-268;Major;Closed;phunt;phunt;java client server;jute:1 generated:1 objects:1 cause:1;java:32 apache:14 string:8 jute:5 append:4 still:2 code:2 causes:2 proto:2 packet:2 run:2 causing:1 problems:1 operations:1 generated:1 need:1 review:1 cleanup:1 user:1 burton:1 creating:1 node:1 created:1 world:1 w:1 exception:1 included:1 infinite:1 loop:1 called:1 filling:1 console:1 exists:1 path:1 true:1 setting:1 watch:1 problem:1;jute:3 updated:2 test:2 object:2 call:2 super:2 constructor:2 pat:2 trunk:2 hudson:2 methods:1 handle:1 passed:1 nulls:1 also:1 time:1 new:1 specific:1 null:1 buffer:1 patch:1 looks:1 good:1 except:1 nit:1 need:1 default:1 compiler:1 eclipse:1 complains:1 empty:1 block:1 removed:1 entirely:1 however:1 intent:1 allow:1 constructed:1 private:1 added:1 remove:1 warning:1 committed:1 thanks:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 generated:1 objects:1 cause:1;2009-01-07T18:05:01.000+0000;2009-01-26T19:28:37.000+0000;;3.0.1 3.0.0;3.1.0;6;2009-01-07T23:46:03.099+0000;2009-01-27T11:44:00.333+0000;0;1;2009-01-07T23:46:01.029+0000;2009-01-07T23:46:01.029+0000;1;2009-01-07T23:46:01.029+0000;2009-01-07T23:46:01.029+0000;;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-272;Major;Closed;jtuberville;mahadev;;fail:1 large:1 numbers:1 children:1;children:4 allows:1 creation:1 number:1 yet:1 string:1 array:1 names:1 exceeds:1 bytes:1 fail:1 throws:1 exception:1 line:1 questioned:1 byte:1 limit:1 need:1 case:1 consistency:1 create:1 get:1 exist:1;java:5 string:5 offset:4 open:4 client:4 value:4 returning:3 fix:3 limit:3 release:3 set:3 instead:3 child:3 think:2 fixing:2 make:2 code:2 multiple:2 children:2 good:2 new:2 allows:2 user:2 property:2 list:2 put:2 mentioned:2 http:2 trunk:2 hudson:2 two:1 stages:1 problem:1 first:1 line:1 use:1 configured:1 probably:1 add:1 version:1 takes:1 returns:1 called:1 times:1 get:1 suggestion:1 another:1 one:1 part:1 fixed:1 patch:1 jute:1 used:1 throw:1 error:1 read:1 exceeds:1 default:1 wants:1 setting:1 return:1 using:1 abstraction:1 us:1 implementation:1 details:1 walking:1 mean:1 inside:1 next:1 call:1 handle:1 calls:1 hood:1 rather:1 burden:1 furthermore:1 say:1 compressed:1 protocol:1 lot:1 space:1 cpu:1 saved:1 decompressing:1 storing:1 current:1 worked:1 sorry:1 earlier:1 planned:1 exactly:1 quick:1 upcoming:1 consider:1 take:1 advantage:1 idiom:1 done:1 sun:1 docs:1 html:1 comment:1 tracked:1 separate:1 committed:1 ill:1 discussion:1 integrated:1 see:1 zones:1 apache:1 job:1;2009-01-13T18:15:32.000+0000;2009-01-29T23:22:12.000+0000;;;3.1.0;10;2009-01-13T18:53:44.899+0000;2009-02-02T11:49:19.049+0000;0;1;2009-01-29T07:27:03.075+0000;2009-01-29T07:27:03.075+0000;1;2009-01-29T07:27:03.075+0000;2009-01-29T07:27:03.075+0000;;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-273;Major;Closed;runping;phunt;c client;c:1 client:1 build:1 depend:1;one:1 able:1 build:1 c:1 client:1 machine:1 installation:1 simple:1 fix:1 remove:1 configure:1 ac:1 following:1 line:1;configure:8 make:7 tests:6 patch:5 ac:4 option:4 non:4 variable:4 name:4 probably:4 gnu:4 extension:4 line:2 problem:2 default:2 check:2 build:2 new:2 c:2 library:2 thanks:2 pat:2 trunk:2 see:2 hudson:2 macro:2 shell:2 cat:2 wrappers:2 opt:2 error:2 simply:1 commented:1 fixed:1 unfortunately:1 removes:1 entirely:1 need:1 rather:1 ie:1 turn:1 think:1 std:1 way:1 conditionally:1 excludes:1 eliminate:1 self:1 documenting:1 help:1 list:1 available:1 options:1 included:1 verified:1 works:1 cases:1 unit:1 pass:1 used:1 note:1 reviewer:1 ignore:1 old:1 consider:1 changed:1 reflect:1 building:1 committed:1 integrated:1 http:1 zones:1 apache:1 job:1 client:1 depend:1 release:1 seem:1 work:1 advertised:1 warning:1 found:1 cc:1 h:1 mt:1 possibly:1 undefined:1 token:1 legitimate:1 please:1 use:1 documentation:1 pointing:1 created:1 fix:1;2009-01-15T00:36:43.000+0000;2009-01-26T17:56:45.000+0000;;3.1.0;3.2.0;9;2009-01-15T17:26:52.719+0000;2009-02-17T19:02:54.070+0000;0;3;2009-01-15T17:25:42.009+0000;2009-01-26T17:54:49.264+0000;3;2009-01-15T17:25:42.009+0000;2009-01-26T17:54:49.264+0000;;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-275;Major;Closed;fpj;fpj;leaderElection;bug:1;leader:4 one:4 problem:4 received:4 id:3 server:3 logical:3 clock:3 vote:3 notifications:3 election:2 servers:2 notification:2 patch:2 higher:2 restarts:2 available:2 found:1 execution:1 make:1 progress:1 problematic:1 scenario:1 ensemble:1 start:1 let:1 elect:1 crash:1 lowest:1 say:1 call:1 restart:1 crashed:1 restarting:1 advanced:1 set:1 receives:1 notices:1 wrong:1 round:1 advances:1 value:1 comes:1 exactly:1 point:1 current:1 code:1 resets:1 initial:1 already:1 notified:1 stuck:1 submitting:1 fixes:1 setting:1 satisfies:1 total:1 order:1 predicate:1 related:1 noticed:1 trying:1 avoid:1 unnecessary:1 duplicates:1 scenarios:1 fails:1 electing:1 succeeds:1 happen:1 example:1 enough:1 crashes:1 fixed:1 attached:1 allowing:1 send:1 new:1 batch:1 least:1 outgoing:1 queue:1 pending:1 empty:1 ok:1 space:1 consecutive:1 batches:1;patch:9 port:8 unit:7 test:7 log:6 kill:4 case:3 good:3 explicitly:3 close:3 think:3 info:3 messages:3 fixed:3 still:2 listener:2 another:2 tried:2 mean:2 code:2 might:2 socket:2 review:2 calling:2 problem:2 tests:2 lot:2 debug:2 election:2 bind:2 trunk:2 hudson:2 problems:1 described:1 includes:1 first:1 second:1 difficult:1 idea:1 write:1 particular:1 able:1 crash:1 restart:1 peer:1 try:1 create:1 instance:1 complains:1 use:1 using:1 true:1 binding:1 work:1 closing:1 closed:1 relies:1 gc:1 ensure:1 killed:1 done:1 issue:1 consider:1 submitting:1 kills:1 means:1 shutdown:1 method:1 referred:1 reproduce:1 killing:1 server:1 c:1 found:1 net:1 returning:1 released:1 include:1 discussing:1 trivial:1 correction:1 pointed:1 prevent:1 us:1 making:1 mistake:1 future:1 like:1 submit:1 current:1 perhaps:1 open:1 worth:1 apply:1 creating:1 new:1 little:1 tricky:1 want:1 mess:1 regenerate:1 looks:1 comments:1 adds:1 really:1 need:1 introduces:1 noise:1 logs:1 probably:1 mark:1 also:1 warn:1 duplicated:1 well:1 last:1 patches:1 fail:1 compile:1 one:1 uses:1 old:1 committed:1 thanks:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1;2009-01-15T15:18:00.000+0000;2009-01-29T23:11:41.000+0000;;3.0.1 3.0.0;3.1.0;9;2009-01-15T15:22:34.554+0000;2009-02-02T11:49:18.755+0000;0;4;2009-01-15T15:22:34.512+0000;2009-01-29T22:52:46.782+0000;4;2009-01-15T15:22:34.512+0000;2009-01-29T22:52:46.782+0000;;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-281;Major;Closed;dememax;phunt;c client;fails:1 c:1;configure:3 ac:3 expanded:3 failed:3 exit:3 status:3 f:1 v:1 entering:1 directory:1 using:1 running:1 force:1 error:1 valid:1 shell:1 variable:1 name:1 top:1 level:1 bin:1;configure:17 ac:8 running:8 c:7 force:6 v:5 laptop:5 sources:5 http:4 try:4 found:4 work:4 system:4 installing:4 f:3 test:3 directory:3 using:3 expanded:3 bin:3 failed:3 exit:3 status:3 see:3 issue:3 script:3 attached:3 patch:3 works:3 missing:3 result:2 look:2 like:2 require:2 specified:2 program:2 entering:2 unfortunately:2 example:2 build:2 might:2 cvs:2 net:2 view:2 markup:2 head:2 fix:2 generated:2 patched:2 run:2 also:2 well:2 gnu:2 fine:2 copy:2 release:2 committed:2 revision:2 trunk:2 hudson:2 log:1 web:1 search:1 seems:1 indicate:1 problems:1 integration:1 www:1 failing:1 html:1 editing:1 line:1 retry:1 error:1 valid:1 shell:1 variable:1 name:1 top:1 level:1 sorry:1 delay:1 oh:1 formatting:1 ugly:1 prof:1 auto:1 stuff:1 propose:1 need:1 access:1 mine:1 got:1 package:1 use:1 help:1 resolved:1 sample:1 file:1 maxim:1 following:1 download:1 apply:1 versions:1 us:1 latest:1 sure:1 special:1 probably:1 trying:1 steps:1 dear:1 patrick:1 take:1 tracing:1 add:1 compile:1 install:1 leaving:1 attachment:1 way:1 flags:1 ignored:1 submit:1 item:1 case:1 updating:1 address:1 linking:1 addresses:1 really:1 non:1 included:1 scripts:1 integrated:1 zones:1 apache:1 job:1;2009-01-29T14:44:23.000+0000;2009-03-05T22:34:24.000+0000;;3.0.1;3.2.0 3.1.1;13;2009-01-29T14:49:48.028+0000;2009-03-11T11:56:21.115+0000;0;4;2009-01-29T14:49:47.927+0000;2009-02-04T18:22:47.074+0000;1;2009-02-03T17:20:34.017+0000;2009-02-03T17:20:34.017+0000;Reference:ZOOKEEPER-292;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-284;Minor;Closed;breed;phunt;;get:1 correctly:1;client:2 port:2 setter:2 always:1 zero:1 getting:1 pretty:1 easy:1 fix:1 really:1 problem:1 well:1 bit:1 complicated:1 implement:1 correctly:1 need:1 think:1 make:1 attribute:1;committed:1 closing:1 one:1;2009-02-02T11:55:40.000+0000;2009-02-02T22:51:33.000+0000;;3.1.0;3.1.0;1;2009-02-02T22:51:33.398+0000;2009-02-02T22:51:33.398+0000;0;0;;;0;;;Blocker:ZOOKEEPER-286;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-285;Major;Closed;breed;breed;;command:1 return:1 correct:1 mode:1;command:1 always:1 returning:1 return:1 actual:1 mode:1;committed:1;2009-02-02T11:56:46.000+0000;2009-02-02T22:46:38.000+0000;;3.0.1 3.0.0;3.1.0;1;2009-02-02T22:46:38.486+0000;2009-02-02T22:46:38.486+0000;0;0;;;0;;;Incorporates:ZOOKEEPER-286;
ZOOKEEPER;ASF;Apache ZooKeeper Committee;database;ZOOKEEPER-291;Major;Closed;phunt;phunt;java client;code:2 regression:1 legacy:1 using:1 constants:1 due:1;constants:3 old:1 deprecated:1 replace:1 process:1 usage:1 broken:1 switch:1 statements:1 cases:1 require:1;trunk:3 added:2 tests:2 changes:2 work:2 also:2 sure:2 patch:2 committed:2 branch:2 release:2 hudson:2 failed:1 w:1 verify:1 legacy:1 code:1 ok:1 using:1 deprecated:1 constants:1 switch:1 case:1 statements:1 make:1 new:1 please:1 review:1 commit:1 needs:1 time:1 edit:1 main:1 specify:1 incompatible:1 change:1 one:1 bug:1 ensure:1 notes:1 pat:1 linking:1 issue:1 fixes:1 regression:1 caused:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1;2009-02-04T19:23:29.000+0000;2009-02-04T20:01:27.000+0000;;;3.1.0;6;2009-02-04T19:28:26.809+0000;2009-02-06T11:42:40.411+0000;0;1;2009-02-04T19:28:26.702+0000;2009-02-04T19:28:26.702+0000;1;2009-02-04T19:28:26.702+0000;2009-02-04T19:28:26.702+0000;Reference:ZOOKEEPER-246;
