Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-62;Blocker;Closed;sboikov;avinogradov;build;project:2 fix:1 build:1 migration:1;need:1 make:1 sure:1 build:1 broken:1 project:1 migration:1 apache:1;need:2 release:2 version:2 use:1 apache:1 cert:1 staging:1 opportunity:1 ignite:1 new:1 branch:1;2014-12-17T07:46:35.000+0000;2015-03-26T13:46:10.000+0000;;;sprint-3;1;2015-02-18T10:30:47.627+0000;2015-02-18T10:30:47.627+0000;0;0;;;0;;;Container:IGNITE-388;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-63;Major;Closed;sboikov;;;finish:1 renaming:1 get:1 rid:1 package:1;need:2 finish:1 renaming:1 get:1 rid:1 package:1 note:1 check:1 modules:1;;2014-12-18T07:19:22.000+0000;2015-01-27T10:15:51.000+0000;;;sprint-1;0;;;0;0;;;0;;;;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-64;Major;Closed;sboikov;avinogradov;general;update:1 source:1 files:1 headers:1;change:2 need:1 set:1 apache:1 source:1 files:1 headers:1 also:1 part:1 please:1 lf:1 idea:1 file:1 line:1 separators:1;grid:2 foreign:1 code:1 found:1 unsafe:1 annotations:1 copyright:1 files:1 changed:1;2014-12-18T09:25:30.000+0000;2015-01-15T16:29:31.000+0000;;;sprint-1;1;2015-01-13T15:18:25.495+0000;2015-01-13T15:18:25.495+0000;0;0;;;0;;;;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-65;Major;Closed;skozlov;avinogradov;general;wrong:1 version:1 ignite:1;ignite:14 node:5 fabric:4 version:3 c:3 n:3 properties:2 time:2 free:2 number:2 volume:2 bytes:2 wrong:1 output:1 need:1 update:1 may:1 rename:1 ver:1 os:1 copyright:1 systems:1 visor:1 select:1 ip:1 cpus:1 cpu:1 load:1 heap:1 choose:1 cancel:1 detailed:1 statistics:1 snapshot:1 id:1 package:1 filenames:1 cd:1 drive:1 data:1 serial:1 directory:1 core:1 jar:1 indexing:1 spring:1 licenses:1 optional:1 file:1;version:2 please:1 specify:1 correct:1 suppose:1;2014-12-18T11:39:05.000+0000;2015-01-27T09:50:53.000+0000;;sprint-1;sprint-1;2;2015-01-20T09:28:05.994+0000;2015-01-20T10:22:55.530+0000;0;0;;;0;;;;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-66;Critical;Closed;skozlov;vasilinets;general;examples:1 still:1 depend:1 artifacts:1;take:1 look:1 examples:1 pom:1;;2014-12-19T08:23:12.000+0000;2015-01-23T17:21:13.000+0000;;sprint-1;sprint-1;0;;;0;0;;;0;;;;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-67;Major;Closed;nstrakovskaya;avinogradov;general;variables:1 present:1 ignite:1;ignite:7 false:4 sun:4 management:4 info:3 c:3 project:3 custom:3 fabric:3 f:2 e:2 output:2 xx:2 steps:1 reproduce:1 start:1 node:1 examples:1 example:1 cache:1 console:1 check:1 observed:1 variables:1 present:1 dec:1 pm:1 apache:1 logger:1 java:1 arguments:1 work:1 port:1 authenticate:1 bat:1;;2014-12-19T11:07:36.000+0000;2015-01-30T19:37:29.000+0000;;sprint-1;sprint-1;0;;;0;0;;;0;;;;Container:IGNITE-130
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-68;Blocker;Closed;ustas;ustas;cache;error:1 stop:1 one:1 three:1 nodes:1 example:1 cache:1;disable:10 set:10 log:9 nodes:7 false:7 http:7 ver:6 java:6 configuration:4 see:4 console:4 bat:4 rest:4 grid:4 topology:4 snapshot:4 cpus:4 heap:4 start:3 example:3 cache:3 node:3 c:3 quiet:3 mode:3 file:3 users:3 downloads:3 ignite:3 fabric:3 v:3 failed:3 bit:3 bin:3 core:3 using:2 examples:2 os:2 copyright:2 systems:2 logging:2 work:2 full:2 add:2 initialize:2 protocol:2 consider:2 adding:2 module:2 performance:2 suggestions:2 fix:2 possible:2 true:2 decrease:2 number:2 backups:2 fully:2 synchronous:2 writes:2 query:2 index:2 peer:2 class:2 loading:2 events:2 remove:2 running:2 benchmarks:2 management:2 monitoring:2 run:2 started:2 ok:2 id:2 error:2 environment:2 tm:2 report:2 stop:1 one:1 tree:1 result:1 stopped:1 fatal:1 detected:1 pc:1 pid:1 version:1 se:1 build:1 hotspot:1 server:1 mixed:1 compressed:1 problematic:1 frame:1 write:1 dump:1 dumps:1 disabled:1 enable:1 dumping:1 try:1 unlimited:1 starting:1 information:1 saved:1 like:1 submit:1 bug:1 please:1 visit:1 sun:1 crash:1 line:1 abort:1 trap:1 macintosh:1 attachment:1;reproduce:2 machine:2 fixed:2 failed:1 problem:1 works:1 fine:1 tested:1 sprint:1 sources:1 stable:1;2014-12-19T11:13:47.000+0000;2015-02-11T06:27:22.000+0000;;sprint-1;sprint-1;3;2015-01-20T15:35:50.912+0000;2015-03-20T14:08:59.747+0000;0;1;2014-12-19T11:16:05.148+0000;2014-12-19T11:16:05.148+0000;0;;;;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-69;Major;Closed;nstrakovskaya;avinogradov;general;copyright:1 logo:1 present:1 node:1 output:1;copyright:2 steps:1 reproduce:1 start:1 console:1 node:1 observed:1 logo:1 present:1 ver:1 os:1 c:1 systems:1;copyright:5 logo:3 c:3 console:2 output:2 contains:2 start:2 systems:2 bat:1 router:1 command:1 line:1 loader:1 seems:1 fixed:1 according:1 ignite:1 please:1 specify:1 correct:1 replacement:1 apache:1 software:1 foundation:1;2014-12-19T11:40:01.000+0000;2015-01-30T19:37:17.000+0000;;sprint-1;sprint-1;3;2014-12-19T12:54:45.858+0000;2015-01-30T11:13:00.070+0000;0;0;;;0;;;;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-70;Major;Closed;nstrakovskaya;sevdokimov-gg;general;documentation:1 links:1 ignite:1 lead:1 site:1;http:4 documentation:4 bit:3 see:2 troubleshooting:2 steps:1 reproduce:1 start:1 node:1 f:1 e:1 examples:1 example:1 cache:1 console:1 check:1 output:1 observed:1 info:1 main:1 running:1 benchmarks:1 www:1 information:1 center:1;link:4 documentation:3 ignite:2 let:1 remove:1 links:1 exceptions:1 get:1 fixed:1 http:1 bit:1 removed:1 replaced:1 add:1 next:1 sprint:1 added:1;2014-12-19T13:16:36.000+0000;2015-03-04T17:03:52.000+0000;;sprint-1;sprint-2;2;2015-02-02T07:53:50.765+0000;2015-02-13T09:39:06.852+0000;0;0;;;0;;;Blocker:IGNITE-95;
IGNITE;ASF;Apache Ignite Committee;cloud;IGNITE-71;Major;Closed;nstrakovskaya;avinogradov;general;file:1 names:1 contain:1;examples:3 main:3 files:2 log:2 docs:2 contain:1 name:1 folders:1 java:1 scalar:1;fixed:2 thought:1 help:1 files:1 documentation:1 docs:1 folder:1 committed:1 sprint:1;2014-12-19T15:26:45.000+0000;2015-01-30T19:37:06.000+0000;;sprint-1;sprint-1;1;2015-01-29T06:34:03.675+0000;2015-01-29T06:34:03.675+0000;0;0;;;0;;;;
